observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
CDK2_obs_neu_data_D1	CDK2_obs	x1	lin	0.016487744235590313	normal
CDK2_obs_neu_data_D2	CDK2_obs	x1	lin	0.019079882441118037	normal
CDK2_obs_neu_data_D3	CDK2_obs	x1	lin	0.019846942716060873	normal
CDK2_obs_neu_data_D4	CDK2_obs	x1	lin	0.02213153274147564	normal
CDK2_obs_neu_data_D5	CDK2_obs	x1	lin	0.030581753258343253	normal
CDK2_obs_neu_data_D6	CDK2_obs	x1	lin	0.0341304516704898	normal
CDK2_obs_neu_data_D7	CDK2_obs	x1	lin	0.05546996708111779	normal
CDK4_obs_neu_data_D1	CDK4_obs	x2	lin	0.04308780062301822	normal
CDK4_obs_neu_data_D2	CDK4_obs	x2	lin	0.04223915520238107	normal
CDK4_obs_neu_data_D3	CDK4_obs	x2	lin	0.04542420942086953	normal
CDK4_obs_neu_data_D4	CDK4_obs	x2	lin	0.037994835538189525	normal
CDK4_obs_neu_data_D5	CDK4_obs	x2	lin	0.0420892728529712	normal
CDK4_obs_neu_data_D6	CDK4_obs	x2	lin	0.04418516079357334	normal
CDK4_obs_neu_data_D7	CDK4_obs	x2	lin	0.049366852122676684	normal
CDKN1A_obs_neu_data_D1	CDKN1A_obs	x3	lin	0.06178580552368646	normal
CDKN1A_obs_neu_data_D2	CDKN1A_obs	x3	lin	0.06550899470034177	normal
CDKN1A_obs_neu_data_D3	CDKN1A_obs	x3	lin	0.06997056619241691	normal
CDKN1A_obs_neu_data_D4	CDKN1A_obs	x3	lin	0.04906401831014735	normal
CDKN1A_obs_neu_data_D5	CDKN1A_obs	x3	lin	0.042748650349676606	normal
CDKN1A_obs_neu_data_D6	CDKN1A_obs	x3	lin	0.05403351879598717	normal
CDKN1A_obs_neu_data_D7	CDKN1A_obs	x3	lin	0.04437048468279526	normal
PCNA_obs_neu_data_D1	PCNA_obs	x4	lin	0.04574342202430799	normal
PCNA_obs_neu_data_D2	PCNA_obs	x4	lin	0.053167044910619285	normal
PCNA_obs_neu_data_D3	PCNA_obs	x4	lin	0.04211123230943483	normal
PCNA_obs_neu_data_D4	PCNA_obs	x4	lin	0.04758730593614092	normal
PCNA_obs_neu_data_D5	PCNA_obs	x4	lin	0.04156016517376522	normal
PCNA_obs_neu_data_D6	PCNA_obs	x4	lin	0.049846872545904225	normal
PCNA_obs_neu_data_D7	PCNA_obs	x4	lin	0.050938773518000406	normal
RB1_obs_neu_data_D1	RB1_obs	x5	lin	0.04520453181277372	normal
RB1_obs_neu_data_D2	RB1_obs	x5	lin	0.046801943367548414	normal
RB1_obs_neu_data_D3	RB1_obs	x5	lin	0.04711455492276524	normal
RB1_obs_neu_data_D4	RB1_obs	x5	lin	0.041641349853121276	normal
RB1_obs_neu_data_D5	RB1_obs	x5	lin	0.045869139819517166	normal
RB1_obs_neu_data_D6	RB1_obs	x5	lin	0.03919868612840364	normal
RB1_obs_neu_data_D7	RB1_obs	x5	lin	0.05162450550079457	normal
TP53_obs_neu_data_D1	TP53_obs	x6	lin	0.03584126919356714	normal
TP53_obs_neu_data_D2	TP53_obs	x6	lin	0.031323002164379596	normal
TP53_obs_neu_data_D3	TP53_obs	x6	lin	0.03803143457032606	normal
TP53_obs_neu_data_D4	TP53_obs	x6	lin	0.042191438640958326	normal
TP53_obs_neu_data_D5	TP53_obs	x6	lin	0.03254994559438081	normal
TP53_obs_neu_data_D6	TP53_obs	x6	lin	0.034278524177615226	normal
TP53_obs_neu_data_D7	TP53_obs	x6	lin	0.05570884544104208	normal
