parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
a_1_5	a_1_5	lin	0	1000	75.6404409699268	1
a_6_3	a_6_3	lin	0	1000	155.832687292963	1
b_1_1	b_1_1	lin	0	1000	3.21734020632765	1
b_1_3	b_1_3	lin	0	1000	165.05078865988	1
b_2_3	b_2_3	lin	0	1000	165.354927964173	1
b_2_5	b_2_5	lin	0	1000	0.572828371619423	1
b_3_1	b_3_1	lin	0	1000	1.2649401645036	1
b_3_2	b_3_2	lin	0	1000	7.87907629956689	1
b_3_4	b_3_4	lin	0	1000	5.81190268651007	1
b_3_5	b_3_5	lin	0	1000	0.13399376363795	1
b_4_1	b_4_1	lin	0	1000	2.90565560216399e-10	1
b_6_2	b_6_2	lin	0	1000	11.5153348794995	1
delta_1	delta_1	lin	0	1000	0.987200942441682	1
h_1	h_1	lin	1	1000	338.094794721713	1
h_2	h_2	lin	1	1000	1.00025049174756	1
h_3	h_3	lin	1	1000	158.77556417041	1
h_4	h_4	lin	1	1000	1.00000004684861	1
h_5	h_5	lin	1	1000	40.7766229941314	1
init_x1	init_x1	lin	0	1	0.165318139693284	1
init_x2	init_x2	lin	0	1	0.479910276108202	1
init_x3	init_x3	lin	0	1	0.157494670705135	1
init_x4	init_x4	lin	0	1	0.288855596596292	1
init_x5	init_x5	lin	0	1	0.288924449441774	1
init_x6	init_x6	lin	0	1	0.216795220531917	1
