parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
a_1_5	a_1_5	lin	0	1000	91.7299867378646	1
a_6_3	a_6_3	lin	0	1000	155.832687292963	1
b_1_1	b_1_1	lin	0	1000	3.21626230538035	0
b_1_3	b_1_3	lin	0	1000	165.05078865988	1
b_2_3	b_2_3	lin	0	1000	165.354927964173	1
b_2_5	b_2_5	lin	0	1000	0.536880209675318	0
b_3_1	b_3_1	lin	0	1000	1.26551001578153	0
b_3_2	b_3_2	lin	0	1000	7.89771197921014	0
b_3_4	b_3_4	lin	0	1000	5.812551423626	0
b_3_5	b_3_5	lin	0	1000	0.170937678321107	0
b_4_1	b_4_1	lin	0	1000	5.93829884604013e-11	0
b_6_2	b_6_2	lin	0	1000	11.9701164744359	1
delta_1	delta_1	lin	0	1000	0.987110170633073	0
h_1	h_1	lin	1	1000	342.507176440152	1
h_2	h_2	lin	1	1000	1.0000708753099	0
h_3	h_3	lin	1	1000	158.77556417041	1
h_4	h_4	lin	1	1000	1.00000000375767	0
h_5	h_5	lin	1	1000	52.8110448426547	1
init_x1	init_x1	lin	0	1	0.165378212219373	1
init_x2	init_x2	lin	0	1	0.480312244962759	1
init_x3	init_x3	lin	0	1	0.157275603908751	1
init_x4	init_x4	lin	0	1	0.288785071057895	1
init_x5	init_x5	lin	0	1	0.289017433475007	1
init_x6	init_x6	lin	0	1	0.216808254220625	1
