Time,Variable,ExpData,SimulatedData,Std,Chi2,ModelIndex,DataIndex
7,CDK2_obs,0.0211581886002998,0.0273934740089899,0.0164877442355903,0.143017832177435,1,1
7,CDK4_obs,0.167478328941291,0.158380019383532,0.0430878006230182,0.0445874633203312,1,1
7,CDKN1A_obs,0.469544143656298,0.496779315218361,0.0617858055236865,0.194304475728249,1,1
7,PCNA_obs,0.14130355921076,0.126359951100638,0.045743422024308,0.10672192207888,1,1
7,RB1_obs,0.166841863186105,0.159242019573253,0.0452045318127737,0.0282647637674765,1,1
7,TP53_obs,0.113617180795328,0.000197710378959554,0.0358412691935671,10.0140203514386,1,1
4,CDK2_obs,0.0258193014501911,0.0274446585714971,0.019079882441118,0.00725681760925121,1,2
4,CDK4_obs,0.145762024264336,0.159013373108531,0.0422391552023811,0.0984214427160202,1,2
4,CDKN1A_obs,0.429428260638568,0.496659822603742,0.0655089947003418,1.05328168549639,1,2
4,PCNA_obs,0.158702982858089,0.132491029112656,0.0531670449106193,0.243060138531769,1,2
4,RB1_obs,0.160679193803305,0.157128834597902,0.0468019433675484,0.0057546221895652,1,2
4,TP53_obs,0.0810507331752185,0.00397074658388303,0.0313230021643796,6.05559051252667,1,2
10,CDK2_obs,0.0265912490008529,0.0273933412157836,0.0198469427160609,0.00163328272960489,1,3
10,CDK4_obs,0.138027381277865,0.158626035108254,0.0454242094208695,0.205637787918168,1,3
10,CDKN1A_obs,0.4048518043846,0.496779625496707,0.0699705661924169,1.72608888787177,1,3
10,PCNA_obs,0.104567276362321,0.126052155464877,0.0421112323094348,0.260297458358149,1,3
10,RB1_obs,0.148468001095493,0.158039735314235,0.0471145549227652,0.0412734788556867,1,3
10,TP53_obs,0.102569900694419,9.85779995857234e-06,0.0380314345703261,7.27228637225116,1,3
2,CDK2_obs,0.0408858193847097,0.0301593131449829,0.0221315327414756,0.234905721332121,1,4
2,CDK4_obs,0.214053076917389,0.187892157548936,0.0379948355381895,0.474085711753523,1,4
2,CDKN1A_obs,0.595155728124594,0.490404271005873,0.0490640183101474,4.55820568185944,1,4
2,PCNA_obs,0.218381884837187,0.17124999242641,0.0475873059361409,0.980951459708072,1,4
2,RB1_obs,0.199864448926193,0.202785541658337,0.0416413498531213,0.0049208609120551,1,4
2,TP53_obs,0.144818153489866,0.0293400439301888,0.0421914386409583,7.49118742328865,1,4
1,CDK2_obs,0.0563864780983549,0.0608553358160103,0.0305817532583433,0.0213534619320297,1,5
1,CDK4_obs,0.291265506683007,0.265415695829162,0.0420892728529712,0.377200182070223,1,5
1,CDKN1A_obs,0.532947163433789,0.450270894079988,0.0427486503496766,3.74039034516015,1,5
1,PCNA_obs,0.218042833609474,0.235302330604549,0.0415601651737652,0.172465304461512,1,5
1,RB1_obs,0.24083713697394,0.237779801501579,0.0458691398195172,0.00444267965009017,1,5
1,TP53_obs,0.12452416241949,0.0797545073866005,0.0325499455943808,1.8917640232271,1,5
0.5,CDK2_obs,0.0940676635700192,0.100327898757986,0.0341304516704898,0.0336431945825594,1,6
0.5,CDK4_obs,0.293427306759578,0.348849131252149,0.0441851607935733,1.57328991169552,1,6
0.5,CDKN1A_obs,0.215812862128333,0.37116233221875,0.0540335187959872,8.26595526910685,1,6
0.5,PCNA_obs,0.223244945349807,0.280888863633987,0.0498468725459042,1.33730712056983,1,6
0.5,RB1_obs,0.215105783558041,0.216367517706942,0.0391986861284036,0.00103607857703422,1,6
0.5,TP53_obs,0.115147130498392,0.131492951544252,0.0342785241776152,0.227388893679181,1,6
0,CDK2_obs,0.183112060790425,0.165318139693284,0.0554699670811178,0.102902874043527,1,7
0,CDK4_obs,0.503313296062954,0.479910276108202,0.0493668521226767,0.224736149283557,1,7
0,CDKN1A_obs,0.169421269644951,0.157494670705135,0.0443704846827953,0.0722511701405786,1,7
0,PCNA_obs,0.32708932854114,0.288855596596292,0.0509387735180004,0.563373499045339,1,7
0,RB1_obs,0.289162853557726,0.288924449441774,0.0516245055007946,2.13263085716436e-05,1,7
0,TP53_obs,0.163297693461501,0.216795220531917,0.0557088454410421,0.922187218553065,1,7
